display,address,x,y,area,theme,img_id,img_url
종묘 [유네스코 세계문화유산],서울특별시 종로구 훈정동 1-2,126.9939555,37.5758018,서울특별시,관광지,28a4a6ae-968e-4935-bec5-7798816d9156,종묘 [유네스코 세계문화유산].jpg
문화역 서울 284,서울특별시 중구 봉래동2가 122-28,126.97159270000002,37.55582070000001,서울특별시,관광지,ee0767bc-7c3e-44dc-b93d-64a3cb5db736,문화역 서울 284.jpg
한강시민공원 여의도지구(여의도한강공원),서울특별시 영등포구 여의도동 8,126.9348268,37.5263232,서울특별시,관광지,4275a917-2e93-4be9-b9c4-e8526b23fa69,한강시민공원 여의도지구(여의도한강공원).jpg
불암산,서울특별시 노원구 상계동,127.09527140000002,37.6636719,서울특별시,관광지,20162b52-0894-432d-9790-6bcaab71fc10,불암산.jpg
반포한강공원,서울특별시 서초구 반포동 115-5,126.9950258,37.5100065,서울특별시,관광지,7f663eac-607e-4d05-9dbd-1ba7c7f5cef7,반포한강공원.jpg
부암동,서울특별시 종로구 부암동 265-21,126.9641,37.5924785,서울특별시,관광지,f55c2952-b090-462c-abf2-5baa829c51ac,부암동.jpg
광화문,서울특별시 종로구 세종로 1-57,126.9768428,37.576026,서울특별시,관광지,c01c961f-5f2e-49c4-89a0-31171a3c6b22,광화문.jpg
화랑대 철도공원,서울특별시 노원구 공릉동 29-51,127.0928481,37.6240911,서울특별시,관광지,0d9247d9-fc59-4f23-9e9b-11a773b4f52c,화랑대 철도공원.jpg
반포대교 달빛무지개분수,서울특별시 서초구 반포동,126.996527,37.515487,서울특별시,관광지,74dfb828-6bb2-4e4b-ac29-f1bf00ac4924,반포대교 달빛무지개분수.jpg
서울 동대문 닭한마리 골목,서울특별시 종로구 종로5가 37-7,127.0055818,37.5703033,서울특별시,관광지,370eb293-bd0f-4f97-8524-b0e116504b79,서울 동대문 닭한마리 골목.jpg
서대문독립공원,서울특별시 서대문구 현저동 101,126.956771,37.5738289,서울특별시,관광지,0a295085-e229-478c-820a-773fa97c8c3e,서대문독립공원.jpg
서해금빛열차,전라북도 군산시 내흥동 474-14,126.75977659999998,35.999286100000006,서울특별시,관광지,ca8c2749-f3b3-4328-adcd-a439aa628154,서해금빛열차.jpg
롯데월드타워&롯데월드몰,서울특별시 송파구 신천동 29,127.1044951,37.5138798,서울특별시,관광지,7f9a94d3-a7aa-4d8b-97b7-c153704bfdb3,롯데월드타워&롯데월드몰.jpg
챔피언1250,경기도 수원시 영통구 영통동 981-2,127.0618367,37.2450608,서울특별시,관광지,924e4245-e627-4794-bbb7-4e06c24c9d64,챔피언1250.jpg
백사실계곡,서울특별시 종로구 부암동 115,126.9666626,37.60079879999999,서울특별시,관광지,edca2878-3371-4e97-9080-c7d79ed9e718,백사실계곡.jpg
덕수궁 돌담길,서울특별시 중구 정동 4,126.9753127,37.5667016,서울특별시,관광지,0545a6d6-4c06-49ee-9896-cdd40ab4e8be,덕수궁 돌담길.jpg
홍릉수목원,서울특별시 동대문구 청량리동 207,127.0439361,37.5933922,서울특별시,관광지,b841e19f-7005-45da-a226-69ef518bca24,홍릉수목원.jpg
서촌마을,서울특별시 종로구 누하동 15,126.9685047,37.5801885,서울특별시,관광지,b51854a2-7fd0-43ab-ac9f-534b9a606884,서촌마을.jpg
여의도샛강생태공원,서울특별시 영등포구 여의도동 49,126.92270320000002,37.5177414,서울특별시,관광지,d9f1d013-78a6-4555-97aa-c188d5f7bd81,여의도샛강생태공원.jpg
경복궁,서울특별시 종로구 세종로 1-91,126.9770162,37.5788407,서울특별시,역사,f74bd59e-6b7c-403a-a0af-a0d3e02aeba9,경복궁.jpg
서울 경교장,서울특별시 종로구 평동,126.9680546,37.56837210000001,서울특별시,역사,60156676-81a8-4c0c-8ece-f16156be3dae,서울 경교장.jpg
북촌한옥마을,서울특별시 종로구 계동 105 북촌문화센터,126.985084,37.581354,서울특별시,역사,faa8c18d-8fcb-4771-bffc-c5173b45c5ce,북촌한옥마을.jpg
삼성산성지,서울특별시 관악구 신림동,126.9293043,37.4566493,서울특별시,역사,0ace0861-3953-46e9-a26b-1448e757d3c5,삼성산성지.jpg
덕수궁,서울특별시 중구 정동 5-1,126.9749148,37.5660945,서울특별시,역사,e5add16c-1c2b-4d66-906e-9db36d3fad36,덕수궁.jpg
청와대사랑채,서울특별시 종로구 효자동 150,126.9732244,37.5826285,서울특별시,역사,f54e0f20-49e3-4fb8-88e6-cc372ca3c15a,청와대사랑채.jpg
서울 몽촌토성,서울특별시 송파구 오륜동 88-3,127.11886640000002,37.5227975,서울특별시,역사,d25f4d47-17f3-4b5e-8744-e82b15976283,서울 몽촌토성.jpg
창경궁,서울특별시 종로구 와룡동 2-1,126.994142,37.5794952,서울특별시,역사,f8e84f56-b94c-4d8e-a528-f5b1864963d9,창경궁.jpg
양천향교,서울특별시 강서구 가양동 234,126.8398222,37.5730734,서울특별시,역사,a2785457-028f-47fb-904f-b6248d9129a5,양천향교.jpg
경희궁,서울특별시 종로구 신문로2가 2-1,126.9685341,37.570773,서울특별시,역사,1e43cf40-a4b0-42de-a5aa-d2c08771f66b,경희궁.jpg
종묘 [유네스코 세계문화유산],서울특별시 종로구 훈정동 1-2,126.9939555,37.5758018,서울특별시,역사,28a4a6ae-968e-4935-bec5-7798816d9156,종묘 [유네스코 세계문화유산].jpg
광화문,서울특별시 종로구 세종로 1-57,126.9768428,37.576026,서울특별시,역사,c01c961f-5f2e-49c4-89a0-31171a3c6b22,광화문.jpg
국립4.19민주묘지,서울특별시 강북구 수유동,127.0105014,37.6473433,서울특별시,역사,e2027114-6347-44f7-9bdb-33e73cedb4fa,국립4.19민주묘지.jpg
봉은사(서울),서울특별시 강남구 삼성동,127.0611033,37.5142034,서울특별시,역사,33bfc8dc-cb96-47dd-845c-56027d48ef93,봉은사(서울).jpg
국립서울현충원,서울특별시 동작구 동작동 271-18,126.9736848,37.4998621,서울특별시,역사,37999cbe-44d3-496c-a261-a04aa9ffeffa,국립서울현충원.jpg
숭례문,서울특별시 중구 남대문로4가 29,126.9753562,37.5599757,서울특별시,역사,4cbf8feb-c1f4-432e-aa09-68220f72e1f1,숭례문.jpg
북촌 8경,서울특별시 종로구 가회동,126.98551100000002,37.578880700000006,서울특별시,역사,8dbcbfa5-4995-4373-95e8-98af0295594e,북촌 8경.jpg
길상사(서울),서울특별시 성북구 성북동 323,126.9941046,37.5986549,서울특별시,역사,6ad70abd-de21-42f6-b7b4-5a8ae44cc8cf,길상사(서울).jpg
대원군별장,서울특별시 종로구 홍지동 125,126.9586282,37.599216,서울특별시,역사,378540d5-ab25-4eda-92fb-50ab287e5d21,대원군별장.jpg
금선사(서울),서울특별시 종로구 구기동 196-2,126.9533973,37.6204454,서울특별시,역사,23b5dbe7-efb2-49e6-a175-ada1bfded682,금선사(서울).jpg
서울 운현궁,서울특별시 종로구 운니동 114-10,126.98705,37.5761249,서울특별시,역사,0fb711f9-22e8-454e-bd2b-f04be3ea22be,서울 운현궁.jpg
호암산성,충청북도 충주시 안림동 323-3,127.9602209,36.9715928,서울특별시,역사,c2a9e42f-305d-4957-bc74-b72d215dd221,호암산성.jpg
옥천암(서울),서울특별시 서대문구 홍은1동 8,126.9543475,37.5969645,서울특별시,역사,4be77eeb-24b6-4c61-8b5b-2e16cc89182f,옥천암(서울).jpg
불국사,경상북도 경주시 진현동 15-1,129.3318695,35.79038189999999,서울특별시,역사,272474c4-9fb5-4b8b-be7f-581b115069d6,불국사.jpg
봉원사(서울),서울특별시 서대문구 봉원동 산1,126.9477867,37.57200039999999,서울특별시,역사,3af9d7cb-9a91-4860-b2a7-f5c67120730b,봉원사(서울).jpg
서울 약현성당,서울특별시 중구 중림동 149-2,126.9674853,37.5591567,서울특별시,역사,87345f4d-8711-4ea1-a80d-b017d7da2674,서울 약현성당.jpg
만해한용운심우장,서울특별시 성북구 성북동 222-1,126.991692,37.593619,서울특별시,역사,9a0f6893-92a4-4cfe-a6cf-9cf960fd8c7d,만해한용운심우장.jpg
서울 명동성당,서울특별시 중구 명동2가 1-1,126.9872302,37.56342470000001,서울특별시,역사,adbe2e56-f1da-4692-b52b-80b37aa0afa8,서울 명동성당.jpg
성락원(서울),충청남도 태안군 남면 신장리 371,126.2908939,36.6742829,서울특별시,역사,ad55c4e3-f167-49ac-b30b-8ef513d2592a,성락원(서울).jpg
수락산 학림사,서울특별시 노원구 상계동 1,127.077371,37.6821081,서울특별시,역사,89d22ba8-3db5-4f18-ad5a-9570c57c3644,수락산 학림사.jpg
"서울 의릉(경종,선의왕후) [유네스코 세계문화유산]",서울특별시 성북구 석관동  333-2,127.0571462,37.6035423,서울특별시,역사,971249b1-bef1-4815-8054-13d57ba8c6c5,"서울 의릉(경종,선의왕후) [유네스코 세계문화유산].jpg"
북악산 숙정문,서울특별시 종로구 삼청동,126.981044,37.5954886,서울특별시,역사,968c27fd-a2e0-49b4-bd06-2fe076d9f785,북악산 숙정문.jpg
백련사(서울),서울특별시 서대문구 홍은동 316-1,126.9272066,37.5864223,서울특별시,역사,1502fccc-6895-4252-8047-1f26fcb7dcfb,백련사(서울).jpg
서울 정동교회,서울특별시 중구 정동 34-3,126.9723969,37.5655018,서울특별시,역사,7d40fcde-feee-4c9c-a634-e1bd0e50a5eb,서울 정동교회.jpg
서울 구 러시아공사관,서울특별시 중구 정동,126.97164,37.5680656,서울특별시,역사,79e20e48-aa05-48d6-94f9-365a97aa954f,서울 구 러시아공사관.jpg
조계사(서울),서울특별시 종로구 수송동,126.9818326,37.57390820000001,서울특별시,역사,aba6b87c-6d74-4601-bac3-ade5bea1c626,조계사(서울).jpg
수국사(서울),서울특별시 은평구 구산동 314,126.90436470000002,37.6158366,서울특별시,역사,a644222d-a052-4723-ae05-56ff84c9972f,수국사(서울).jpg
능인선원,서울특별시 강남구 개포동 1055,127.0525916,37.4716779,서울특별시,역사,4ab9faba-0ac1-4e96-92a0-8137ff71f222,능인선원.jpg
창의문(자하문),서울특별시 종로구 부암동 247-1,126.9661796,37.5927908,서울특별시,역사,81a3a51c-aed6-4503-be81-81077f475aae,창의문(자하문).jpg
승동교회,서울특별시 종로구 인사동,126.9868232,37.5713286,서울특별시,역사,c4b9b36a-e0a0-4fe3-a917-5e402e65d2d0,승동교회.jpg
약사사(서울),경기도 성남시 중원구 은행동,127.1786669,37.4671427,서울특별시,역사,b5b4e22d-7338-44d6-ae7f-951b292fde15,약사사(서울).jpg
서울 석촌동 고분군,서울특별시 송파구 석촌동,127.1022941,37.5021842,서울특별시,역사,07261b58-6406-4f83-b31e-1dd9647fa53e,서울 석촌동 고분군.jpg
환구단,서울특별시 중구 소공동,126.9797415,37.5650898,서울특별시,역사,4c055f45-d235-4b3f-bc88-5823d96fa419,환구단.jpg
중명전,서울특별시 중구 정동,126.9725254,37.5667029,서울특별시,역사,661d947d-433d-48fd-abf7-45363080c11a,중명전.jpg
독립문,서울특별시 서대문구 현저동 941,126.95955159999998,37.5724281,서울특별시,역사,dbdb6543-6117-47f0-99df-49c27c3432cc,독립문.jpg
